singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rihanna,Here I Go Again,0.681,0.611,-5.939,0.077,0.000332,0.00193,0.12,0.637,83.463
Rihanna,Pose,0.685,0.852,-3.153,0.0846,0.181,0.00135,0.147,0.77,145.918
Dua Lipa,Running,0.62,0.694,-3.739,0.0311,0.0178,0.0,0.19,0.319,98.002
Halsey,Drive,0.571,0.585,-8.392,0.0494,0.239,0.00016,0.133,0.291,113.973
Post Malone,Psycho,0.75,0.56,-8.094,0.105,0.546,0.0,0.111,0.459,140.06
Mustafa Ceceli,Alametifarika,0.772,0.888,-3.621,0.0329,0.473,2.13e-06,0.0349,0.964,127.021
Rihanna,Kiss It Better,0.619,0.806,-4.8,0.0483,0.272,0.0,0.0671,0.877,95.0
Mark Eliyahu,Brothers Getting Together,0.442,0.447,-4.606,0.0367,0.743,0.0131,0.0896,0.556,103.314
Nuri Serinlendirici,Sevdiyim,0.507,0.568,-6.429,0.0391,0.209,0.0,0.279,0.255,82.882
Rihanna,Fire Bomb,0.561,0.847,-4.728,0.0446,0.13,0.0,0.151,0.443,149.909
Katy Perry,Witness,0.599,0.614,-8.811,0.0548,0.0351,0.00017,0.106,0.123,119.831
Nuri Serinlendirici,Taksi,0.721,0.941,-4.441,0.223,0.168,3.39e-06,0.0798,0.798,187.56
Maroon 5,How,0.534,0.693,-4.548,0.0263,0.121,0.0,0.335,0.385,92.98
Gazapizm,Hakikatler,0.708,0.866,-7.233,0.258,0.0752,0.0,0.168,0.753,173.927
Post Malone,Chemical,0.498,0.897,-4.907,0.045,0.00136,0.0,0.118,0.373,169.902
Post Malone,Over Now,0.569,0.777,-4.041,0.0834,0.139,0.0,0.132,0.181,164.027
Post Malone,Euthanasia,0.301,0.303,-12.39,0.0458,0.177,0.031,0.0979,0.0384,141.997
Katy Perry,Smile,0.783,0.912,-3.713,0.243,0.0238,0.0,0.339,0.749,98.025
